LATITUDE,LONGITUDE,TAXA_HABITANTE
-11.929,-61.996,2
-9.913,-63.041,1.08
-13.492,-60.545,0.17
-11.438,-61.448,0.73
-13.189,-60.812,0.83
-13.117,-60.542,0.26
-12.962,-60.887,1.38
-12.445,-64.227,3.2
-11.525,-61.013,0.52
-10.783,-65.339,1.43
-10.439,-62.466,0.5
-10.882,-61.944,0.71
-9.444,-61.981,1.99
-11.725,-62.331,1.32
-10.716,-62.248,1.4
-11.673,-61.193,0.5
-8.762,-63.904,1.22
-11.176,-61.901,0.91
-11.733,-61.778,1.3
-11.902,-61.779,0.29
-12.741,-60.146,0.73
-11.681,-62.684,0.75
-10.411,-65.331,0.58
-11.408,-62.389,0.31
-12.128,-61.851,3.09
-9.713,-63.321,1.23
-10.212,-63.829,0.68
-8.791,-63.701,1.26
-11.427,-61.95,1.03
-9.363,-62.585,0.17
-9.205,-63.18,1.02
-11.03,-62.675,1.18
-10.246,-63.29,0.6
-10.904,-62.561,0.58
-11.903,-61.502,0.73
-12.062,-63.569,1.84
-11.798,-63.031,0.43
-10.918,-62.249,0.64
-11.125,-62.376,0.34
-9.863,-62.186,1.13
-10.941,-69.567,0.65
-11.01,-68.748,0.39
-10.573,-67.676,0.39
-7.631,-72.67,1.09
-11.029,-68.741,0.32
-8.164,-70.354,0.8
-9.434,-71.884,1.59
-7.614,-72.896,0.4
-8.839,-69.26,0.91
-10.276,-67.15,0.83
-8.269,-72.744,0.14
-9.975,-67.81,1.21
-7.742,-72.647,0.25
-10.151,-67.736,0.73
-9.066,-68.657,0.46
-8.161,-70.766,3.44
-9.588,-67.533,1.06
-3.221,-64.804,0.62
-3.364,-68.198,4.03
-3.58,-61.404,1.01
-3.773,-61.644,0.36
-7.197,-59.891,1.04
-4.372,-70.192,2.24
-3.58,-59.131,0.63
-0.975,-62.924,1.62
-2.793,-57.07,0.23
-4.383,-70.031,3.91
-3.898,-61.373,0.38
-2.97,-57.59,1.63
-8.752,-67.398,0.78
-4.388,-59.594,0.38
-4.883,-66.896,0.72
-3.221,-59.826,1.28
-4.085,-63.141,0.26
-3.837,-62.057,0.79
-6.66,-69.874,1.03
-7.433,-70.023,2.72
-2.514,-66.092,0.39
-7.546,-72.584,0.5
-7.506,-63.021,0.36
-7.051,-71.695,0.2
-3.285,-60.186,0.21
-3.143,-58.444,0.25
-6.425,-68.253,0.51
-2.749,-58.022,0.47
-1.826,-66.599,2.94
-2.747,-66.767,1.31
-7.259,-64.798,0.35
-3.3,-60.621,0.41
-3.428,-60.459,0.12
-3.102,-60.025,1.05
-1.856,-65.581,0.62
-3.384,-57.719,0.25
-3.888,-59.094,0.47
-2.621,-60.944,0.39
-5.121,-60.38,0.16
-2.628,-56.736,0.65
-7.714,-66.976,0.25
-2.034,-60.025,0.82
-2.699,-59.7,2.71
-0.414,-65.019,3.94
-3.102,-67.94,0.95
-0.13,-67.089,9.25
-3.378,-68.873,4.81
-4.253,-69.938,7.78
-5.628,-63.183,0.99
-3.354,-64.711,1.45
-2.99,-65.108,0.19
-2.536,-57.76,1.23
3.652,-61.371,1.92
2.98,-61.292,1.62
2.82,-60.673,1.51
3.36,-59.833,6.51
2.61,-60.597,5.96
1.816,-61.128,0.63
0.884,-59.696,0.83
2.182,-61.041,0.83
2.43,-60.9,1.75
3.881,-59.623,3.66
4.431,-61.146,3.37
0.946,-60.418,1.32
1.005,-60.159,0.25
-1.718,-48.883,0.31
-4.954,-48.393,0.4
-1.961,-48.197,0.79
-0.157,-50.387,0.41
-6.791,-50.467,0.4
-1.942,-54.738,0.55
-1.523,-52.582,1.59
-3.203,-52.206,1.08
-0.987,-49.94,0.31
-1.366,-48.372,0.47
-3.472,-51.198,0.54
-2.134,-47.563,0.65
-3.606,-55.332,1.45
-1.9,-50.164,0.15
-2.791,-49.672,0.35
-1.506,-48.626,0.21
-1.456,-48.504,0.45
-2.636,-54.937,0.45
-1.361,-48.245,0.57
-5.051,-48.609,0.6
-1.063,-46.773,0.22
-3.262,-52.668,0.07
-5.699,-48.413,1.12
-4.009,-49.461,0.57
-1.682,-50.48,0.75
-1.515,-48.045,0.18
-1.671,-46.529,1.07
-1.011,-48.963,0.17
-2.244,-49.496,0.58
-6.497,-49.878,0.98
-1.196,-47.181,0.19
-1.745,-47.065,0.37
-1.297,-47.922,0.73
-0.16,-49.988,0.19
-0.937,-48.282,0.38
-8.258,-49.265,0.89
-1.991,-47.949,0.35
-7.825,-50.773,1.02
-6.091,-49.541,2.01
-1.814,-49.795,0.12
-0.734,-47.855,0.28
-4.285,-47.505,0.54
-6.104,-49.355,0.3
-2.171,-56.745,0.75
-7.554,-49.713,0.63
-1.934,-47.053,0.39
-3.843,-49.097,0.75
-1.405,-51.64,0.36
-1.127,-47.618,0.61
-1.975,-48.96,0.25
-1.43,-47.917,2.2
-2.558,-47.494,0.28
-1.769,-47.439,0.53
-4.276,-55.984,1.07
-5.135,-49.327,1.14
-4.451,-49.116,0.73
-2.06,-47.553,0.63
-5.369,-49.118,0.94
-0.765,-47.45,0.14
-1.355,-48.342,0.34
-3.446,-52.889,0.76
-2.584,-49.507,0.38
-1.884,-48.769,1.24
-2.008,-54.069,0.35
-2.269,-46.966,0.83
-4.921,-49.077,0.26
-1.206,-47.386,1.42
-7.147,-55.382,0.7
-4.331,-49.796,0.44
-1.918,-55.518,0.15
-2.003,-49.854,0.48
-1.766,-55.866,0.62
-1.548,-47.119,0.63
-6.755,-51.084,0.78
-3.838,-50.638,0.88
-5.742,-48.317,2
-2.995,-47.353,0.44
-6.068,-49.902,1.41
-1.192,-47.314,0.2
-3.868,-54.22,0.22
-1.39,-48.871,0.31
-1.936,-50.821,0.53
-1.8,-53.48,1.99
-0.943,-47.116,0.29
-8.029,-50.031,0.64
-7.311,-50.048,1.46
-4.776,-48.067,0.91
-4.096,-54.91,0.12
-0.629,-47.356,0.14
-0.753,-48.517,0.29
-1.224,-48.294,0.28
-0.664,-49.163,0.69
-1.299,-48.161,0.78
-1.517,-46.942,0.2
-8.855,-49.722,1.14
-1.352,-47.576,0.36
-9.505,-50.625,0.44
-2.443,-54.708,0.78
-1.152,-48.129,0.72
-0.75,-48.02,0.49
-5.538,-48.733,0.69
-1.675,-47.775,0.54
-6.645,-51.995,1.04
-1.169,-47.795,0.87
-6.401,-48.555,0.95
-0.769,-47.174,0.18
-5.358,-48.791,0.24
-1.627,-47.483,0.6
-2.591,-51.954,0.34
-2.947,-48.953,0.51
-1.038,-47.908,0.56
-2.104,-56.487,0.32
-2.419,-48.152,0.22
-6.748,-51.161,0.22
-3.768,-49.673,1.06
-3.756,-47.501,0.22
-3.718,-53.737,0.43
-0.858,-48.142,0.52
-1.197,-46.14,0.31
-2.88,-52.01,0.14
-7.095,-49.946,0.45
2.053,-50.793,2.86
0.778,-51.944,0.29
2.498,-50.949,3.38
-0.842,-52.516,2.75
0.039,-51.066,0.92
-0.115,-51.289,1.79
3.843,-51.835,2.21
-0.058,-51.182,0.96
-0.938,-52.424,0.42
-6.563,-47.466,0.42
-11.306,-48.936,1.9
-11.574,-47.17,0.65
-12.48,-49.125,0.86
-6.366,-48.073,0.88
-9.952,-47.972,0.23
-7.162,-48.528,1.09
-12.931,-49.826,1.69
-7.191,-48.207,0.73
-6.581,-48.644,1.32
-5.651,-48.124,0.8
-7.658,-49.064,2.22
-12.931,-46.938,0.41
-5.466,-47.888,0.83
-12.713,-46.408,0.93
-5.617,-47.769,2.41
-9.836,-48.725,1.68
-8.388,-48.481,1.9
-11,-48.566,2.67
-5.316,-48.229,0.23
-7.994,-46.868,1.44
-11.891,-49.161,5.79
-7.033,-48.396,6.54
-5.322,-48.035,1.06
-9.278,-49.956,0.89
-8.951,-47.336,1.46
-10.144,-49.14,3.31
-11.617,-47.751,1.12
-8.059,-48.475,1.32
-12.792,-46.539,0.71
-12.219,-47.298,1.7
-8.284,-49.247,2.16
-10.6,-49.193,1.34
-6.713,-47.76,1.75
-11.628,-46.821,1.1
-9.8,-49.214,0.9
-9.258,-49.064,2.32
-11.344,-49.271,2.66
-5.343,-48.511,0.46
-10.761,-48.907,0
-12.131,-49.174,1.42
-7.336,-47.49,0.51
-11.797,-49.529,1.22
-9.057,-48.519,1.54
-8.776,-48.932,2.81
-7.71,-47.314,0.48
-8.834,-48.51,2.08
-11.729,-49.069,1.73
-8.392,-47.768,2.06
-5.768,-47.481,1.16
-12.654,-48.594,1.28
-10.794,-49.624,2.53
-10.378,-47.551,0.67
-9.751,-48.358,1.35
-9.796,-49.654,1.63
-10.548,-46.421,1.88
-9.567,-48.392,1.05
-9.529,-48.59,2.16
-10.763,-48.109,0.57
-6.613,-47.546,1.36
-11.71,-47.723,2.07
-6.372,-47.664,1.9
-7.632,-48.423,1.06
-10.567,-48.914,1.92
-12.931,-46.574,2.6
-11.824,-46.628,4.42
-7.86,-47.926,1.45
-13.044,-48.402,0.36
-10.176,-48.867,0.96
-12.615,-47.883,0.84
-7.54,-49.372,0.65
-8.968,-48.175,1.43
-12.025,-48.539,0.4
-8.729,-48.765,1.68
-11.139,-47.579,0.75
-6.774,-48.297,1.84
-10.443,-49.182,1.14
-12.091,-46.479,1.53
-10.744,-47.536,0.54
-11.609,-47.049,1.43
-10.708,-48.417,1.99
-10.424,-48.894,2.67
-6.438,-48.137,0.66
-9.293,-48.466,1.56
-9.344,-47.902,0.76
-5.348,-47.873,1.36
-12.537,-49.925,1.19
-7.157,-48.721,0.97
-11.449,-48.121,0.68
-10.282,-47.808,1.3
-6.434,-47.673,2.03
-5.915,-48.06,0.36
-5.257,-48.2,0.47
-11.975,-48.234,2.72
-11.147,-48.169,2.03
-5.601,-47.638,0.13
-12.404,-46.436,0.65
-12.188,-46.989,2.48
-12.795,-49.093,0.69
-10.167,-48.333,0.98
-9.564,-48.377,1.16
-6.329,-47.416,0.7
-8.394,-48.116,1.82
-6.849,-47.963,0.64
-6.411,-48.536,2.15
-4.947,-47.505,0.55
-4.213,-44.446,0.26
-3.69,-45.903,0.05
-9.111,-45.93,0.24
-5.567,-46.742,1.08
-3.264,-44.62,0.45
-3.672,-43.116,0.48
-1.461,-45.103,0.11
-2.953,-45.665,0.35
-2.89,-41.903,0.15
-4.733,-45.908,0.4
-3.454,-44.78,0.54
