cod_mun;ESPACIAL_CLUSTER;ESPACIAL_P_VALUE;ESPACIAL_CLU_OBS;ESPACIAL_CLU_EXP;ESPACIAL_CLU_ODE;ESPACIAL_CLU_RR;ESPACIAL_CLU_POP;ESPACIAL_LOC_OBS;ESPACIAL_LOC_EXP;ESPACIAL_LOC_ODE;ESPACIAL_LOC_RR;ESPACIAL_LOC_POP;ESPACIAL_CLU_RISCO;ESPACIAL_DATA_REF
430040;1;1E-17;2458;1331,11;1,85;2,03;1331,11;13;5;2,6;2,6;5;Alto risco;2019
431175;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,5;1,98;1,98;0,5;Alto risco;2019
431810;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;1,3;1,54;1,54;1,3;Alto risco;2019
431171;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,31;0;0;0,31;Alto risco;2019
431530;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;1,5;2,01;2,01;1,5;Alto risco;2019
430290;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,86;0;0;0,86;Alto risco;2019
431640;1;1E-17;2458;1331,11;1,85;2,03;1331,11;5;2,66;1,88;1,88;2,66;Alto risco;2019
431303;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,37;2,68;2,68;0,37;Alto risco;2019
432237;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,17;5,98;5,98;0,17;Alto risco;2019
431060;1;1E-17;2458;1331,11;1,85;2,03;1331,11;4;2,46;1,63;1,63;2,46;Alto risco;2019
431980;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,6;3,31;3,31;0,6;Alto risco;2019
431740;1;1E-17;2458;1331,11;1,85;2,03;1331,11;6;3,36;1,78;1,78;3,36;Alto risco;2019
431110;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,81;0;0;0,81;Alto risco;2019
431055;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,25;0;0;0,25;Alto risco;2019
432240;1;1E-17;2458;1331,11;1,85;2,03;1331,11;12;7,96;1,51;1,51;7,96;Alto risco;2019
431710;1;1E-17;2458;1331,11;1,85;2,03;1331,11;8;5,02;1,59;1,59;5,02;Alto risco;2019
431800;1;1E-17;2458;1331,11;1,85;2,03;1331,11;5;4,06;1,23;1,23;4,06;Alto risco;2019
431210;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,35;0;0;0,35;Alto risco;2019
430465;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,25;0;0;0,25;Alto risco;2019
430250;1;1E-17;2458;1331,11;1,85;2,03;1331,11;4;0,45;8,87;8,88;0,45;Alto risco;2019
431770;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,7;2,87;2,87;0,7;Alto risco;2019
430637;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,22;4,61;4,61;0,22;Alto risco;2019
431830;1;1E-17;2458;1331,11;1,85;2,03;1331,11;10;4,12;2,42;2,43;4,12;Alto risco;2019
432149;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,22;4,63;4,63;0,22;Alto risco;2019
431940;1;1E-17;2458;1331,11;1,85;2,03;1331,11;4;1,14;3,5;3,5;1,14;Alto risco;2019
431113;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,26;7,8;7,8;0,26;Alto risco;2019
430660;1;1E-17;2458;1331,11;1,85;2,03;1331,11;9;2,62;3,44;3,44;2,62;Alto risco;2019
431890;1;1E-17;2458;1331,11;1,85;2,03;1331,11;5;2,29;2,18;2,18;2,29;Alto risco;2019
