CLUSTER             LOC_ID                          LATITUDE            LONGITUDE           RADIUS              START_DATE        END_DATE          NUMBER_LOC          LLR                 P_VALUE             OBSERVED            EXPECTED            ODE                 REL_RISK            POPULATION          GINI_CLUST
1                   430040                          -29.783000          -55.792000          744.33              2019/1/1          2019/12/31        962                 434.209251          1e-17               2458                1331.11             1.85                2.03                1331.11             F 
2                   352940                          -23.668000          -46.461000          23.27               2019/1/1          2019/12/31        12                  329.748988          1e-17               347                 1038.37             0.33                0.32                1038.37             F 
3                   330190                          -22.744000          -42.859000          136.38              2019/1/1          2019/12/31        90                  176.781273          1e-17               543                 1083.28             0.50                0.48                1083.28             F 
4                   280490                          -10.453000          -36.651000          359.50              2019/1/1          2019/12/31        483                 118.730439          1e-17               842                 1344.74             0.63                0.60                1344.74             F 
5                   522205                          -17.735000          -49.806000          609.81              2019/1/1          2019/12/31        1017                97.746386           1e-17               2630                2027.58             1.30                1.37                2027.58             F 
6                   231030                          -6.211000           -40.694000          300.35              2019/1/1          2019/12/31        348                 81.073919           1e-17               761                 466.77              1.63                1.67                466.77              F 
7                   150803                          -1.072000           -46.897000          393.02              2019/1/1          2019/12/31        158                 66.733319           1e-17               291                 530.06              0.55                0.54                530.06              F 
8                   130020                          -4.372000           -70.192000          286.84              2019/1/1          2019/12/31        7                   39.794472           0.00000000000142    56                  12.72               4.40                4.42                12.72               F 
9                   230770                          -3.890000           -38.686000          44.51               2019/1/1          2019/12/31        16                  27.572558           0.0000000701        142                 248.76              0.57                0.57                248.76              F 
10                  314550                          -22.068000          -45.264000          68.86               2019/1/1          2019/12/31        55                  17.105059           0.000733            118                 65.45               1.80                1.81                65.45               F 
11                  210170                          -2.747000           -42.826000          111.77              2019/1/1          2019/12/31        25                  13.222452           0.0200              8                   32.39               0.25                0.25                32.39               F 
12                  412290                          -23.601000          -49.626000          43.22               2019/1/1          2019/12/31        19                  9.990800            0.322               32                  12.90               2.48                2.48                12.90               F 
13                  130080                          -4.388000           -59.594000          143.45              2019/1/1          2019/12/31        8                   8.846176            0.661               3                   17.05               0.18                0.18                17.05               F 
14                  210410                          -6.964000           -46.177000          192.08              2019/1/1          2019/12/31        45                  8.314810            0.822               79                  48.13               1.64                1.65                48.13               F 
15                  150503                          -7.147000           -55.382000          350.13              2019/1/1          2019/12/31        13                  7.441877            0.979               46                  24.56               1.87                1.88                24.56               F 
16                  320160                          -18.593000          -39.732000          174.68              2019/1/1          2019/12/31        60                  7.363112            0.981               75                  113.15              0.66                0.66                113.15              F 
