LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
430040                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             13                  5.00                2.60                2.60                5.00                -29.783000          -55.792000          F 
431175                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.50                1.98                1.98                0.50                -29.589000          -55.483000          F 
431810                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   1.30                1.54                1.54                1.30                -29.550000          -55.131000          F 
431171                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.31                0                   0                   0.31                -29.143000          -56.065000          F 
431530                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   1.50                2.01                2.01                1.50                -30.388000          -56.451000          F 
430290                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.86                0                   0                   0.86                -29.884000          -54.825000          F 
431640                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             5                   2.66                1.88                1.88                2.66                -30.258000          -54.914000          F 
431303                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.37                2.68                2.68                0.37                -29.410000          -54.829000          F 
432237                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.17                5.98                5.98                0.17                -29.047000          -55.150000          F 
431060                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             4                   2.46                1.63                1.63                2.46                -29.125000          -56.553000          F 
431980                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.60                3.31                3.31                0.60                -29.692000          -54.679000          F 
431740                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             6                   3.36                1.78                1.78                3.36                -29.192000          -54.867000          F 
431110                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.81                0                   0                   0.81                -29.497000          -54.690000          F 
431055                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.25                0                   0                   0.25                -28.787000          -55.251000          F 
432240                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             12                  7.96                1.51                1.51                7.96                -29.755000          -57.088000          F 
431710                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             8                   5.02                1.59                1.59                5.02                -30.891000          -55.533000          F 
431800                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             5                   4.06                1.23                1.23                4.06                -28.661000          -56.004000          F 
431210                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.35                0                   0                   0.35                -29.566000          -54.460000          F 
430465                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.25                0                   0                   0.25                -28.925000          -54.692000          F 
430250                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             4                   0.45                8.87                8.88                0.45                -28.730000          -54.900000          F 
431770                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.70                2.87                2.87                0.70                -28.511000          -55.228000          F 
430637                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.22                4.61                4.61                0.22                -29.706000          -54.208000          F 
431830                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             10                  4.12                2.42                2.43                4.12                -30.336000          -54.320000          F 
432149                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.22                4.63                4.63                0.22                -29.478000          -54.228000          F 
431940                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             4                   1.14                3.50                3.50                1.14                -29.621000          -54.179000          F 
431113                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.26                7.80                7.80                0.26                -29.291000          -54.224000          F 
430660                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             9                   2.62                3.44                3.44                2.62                -30.983000          -54.673000          F 
431890                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             5                   2.29                2.18                2.18                2.29                -28.408000          -54.961000          F 
431532                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.20                0                   0                   0.20                -29.353000          -54.072000          F 
431697                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.19                10.64               10.64               0.19                -30.340000          -54.080000          F 
430187                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.28                3.60                3.60                0.28                -30.207000          -57.555000          F 
430865                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.21                4.81                4.81                0.21                -28.184000          -55.639000          F 
431915                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.55                1.81                1.81                0.55                -28.563000          -54.554000          F 
431920                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.38                2.67                2.67                0.38                -28.183000          -55.267000          F 
430635                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.18                5.53                5.53                0.18                -28.213000          -55.068000          F 
