LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
110001                          5                   1.53                3.27                3.28                
110002                          11                  6.89                1.60                1.60                
110003                          0                   0.36                0                   0                   
110004                          7                   5.53                1.27                1.27                
110005                          0                   1.07                0                   0                   
110006                          3                   1.06                2.84                2.84                
110007                          0                   0.51                0                   0                   
110008                          0                   1.12                0                   0                   
110009                          0                   2.07                0                   0                   
110010                          5                   2.80                1.79                1.79                
110011                          5                   3.31                1.51                1.51                
110012                          7                   8.22                0.85                0.85                
110013                          0                   2.52                0                   0                   
110014                          1                   1.37                0.73                0.73                
110015                          5                   2.31                2.17                2.17                
110018                          6                   2.35                2.55                2.55                
110020                          43                  34.48               1.25                1.25                
110025                          1                   1.27                0.79                0.79                
110026                          0                   0.25                0                   0                   
110028                          3                   3.53                0.85                0.85                
110029                          2                   0.44                4.58                4.58                
110030                          16                  6.31                2.54                2.54                
110032                          0                   1.48                0                   0                   
110033                          0                   1.88                0                   0                   
110034                          1                   0.95                1.05                1.05                
110037                          2                   0.85                2.36                2.36                
110040                          1                   1.37                0.73                0.73                
110045                          0                   2.45                0                   0                   
110050                          0                   0.58                0                   0                   
110060                          1                   0.40                2.51                2.51                
110070                          0                   0.91                0                   0                   
110080                          1                   1.65                0.61                0.61                
110090                          0                   0.21                0                   0                   
110092                          1                   0.69                1.44                1.44                
110094                          1                   1.54                0.65                0.65                
110100                          2                   0.51                3.90                3.90                
110110                          1                   0.65                1.53                1.53                
110120                          1                   0.61                1.63                1.63                
110130                          1                   0.72                1.40                1.40                
110140                          1                   1.02                0.98                0.98                
110143                          2                   0.46                4.36                4.36                
110145                          0                   0.40                0                   0                   
110146                          0                   0.14                0                   0                   
110147                          0                   0.19                0                   0                   
110148                          0                   0.35                0                   0                   
110149                          1                   1.26                0.79                0.79                
110150                          2                   0.77                2.59                2.59                
110155                          0                   0.29                0                   0                   
110160                          0                   0.69                0                   0                   
110170                          0                   0.76                0                   0                   
110175                          0                   0.73                0                   0                   
110180                          1                   0.45                2.22                2.22                
120001                          3                   0.94                3.20                3.20                
120005                          0                   0.41                0                   0                   
120010                          9                   1.61                5.60                5.60                
120013                          2                   0.63                3.17                3.17                
120017                          1                   0.69                1.45                1.45                
120020                          6                   4.99                1.20                1.20                
120025                          2                   1.11                1.80                1.80                
120030                          0                   1.88                0                   0                   
120032                          0                   0.39                0                   0                   
120033                          0                   1.05                0                   0                   
120034                          0                   0.53                0                   0                   
120035                          1                   0.93                1.07                1.07                
120038                          0                   1.21                0                   0                   
120039                          0                   0.57                0                   0                   
120040                          28                  24.54               1.14                1.14                
120042                          1                   1.00                1.00                1.00                
120043                          3                   0.32                9.51                9.51                
120045                          2                   1.39                1.44                1.44                
120050                          4                   2.72                1.47                1.47                
120060                          5                   2.22                2.25                2.25                
120070                          3                   1.18                2.54                2.54                
120080                          2                   1.13                1.78                1.78                
130002                          2                   0.82                2.43                2.43                
130006                          3                   0.63                4.77                4.77                
130008                          1                   0.80                1.25                1.25                
130010                          2                   1.17                1.71                1.71                
130014                          1                   1.44                0.69                0.69                
130020                          2                   1.09                1.84                1.84                
130030                          1                   2.25                0.44                0.44                
130040                          1                   1.75                0.57                0.57                
130050                          1                   1.69                0.59                0.59                
130060                          9                   2.23                4.03                4.04                
130063                          1                   1.04                0.96                0.96                
130068                          2                   1.09                1.84                1.84                
130070                          0                   2.01                0                   0                   
130080                          1                   2.32                0.43                0.43                
130083                          0                   0.75                0                   0                   
130090                          2                   1.02                1.96                1.96                
130100                          1                   1.56                0.64                0.64                
130110                          0                   2.25                0                   0                   
130115                          1                   1.87                0.54                0.54                
130120                          2                   4.92                0.41                0.41                
130130                          3                   1.67                1.80                1.80                
130140                          7                   1.90                3.69                3.69                
130150                          0                   1.07                0                   0                   
130160                          0                   0.96                0                   0                   
130165                          1                   0.92                1.09                1.09                
130170                          7                   3.37                2.08                2.08                
130180                          1                   1.52                0.66                0.66                
130185                          0                   2.79                0                   0                   
130190                          3                   5.87                0.51                0.51                
130195                          1                   0.43                2.34                2.34                
130200                          1                   0.54                1.84                1.84                
130210                          1                   0.15                6.77                6.77                
130220                          0                   0.78                0                   0                   
130230                          2                   0.73                2.74                2.74                
130240                          0                   2.64                0                   0                   
130250                          7                   5.55                1.26                1.26                
130255                          0                   1.80                0                   0                   
130260                          107                 132.38              0.81                0.81                
130270                          2                   3.26                0.61                0.61                
130280                          1                   0.99                1.01                1.01                
130290                          3                   3.48                0.86                0.86                
130300                          1                   1.26                0.80                0.80                
130310                          0                   2.17                0                   0                   
130320                          3                   1.13                2.65                2.65                
130330                          0                   1.61                0                   0                   
130340                          6                   6.57                0.91                0.91                
130350                          0                   1.06                0                   0                   
130353                          2                   2.15                0.93                0.93                
130356                          3                   2.06                1.45                1.45                
130360                          0                   1.21                0                   0                   
130370                          7                   1.14                6.12                6.12                
130380                          11                  2.52                4.37                4.37                
130390                          8                   2.18                3.67                3.67                
130395                          0                   0.79                0                   0                   
130400                          1                   0.52                1.92                1.92                
130406                          20                  3.55                5.63                5.64                
130410                          3                   1.01                2.98                2.98                
130420                          6                   3.29                1.82                1.82                
130423                          0                   0.99                0                   0                   
130426                          1                   0.73                1.37                1.37                
130430                          1                   0.93                1.07                1.07                
130440                          2                   1.33                1.50                1.50                
140002                          4                   0.67                5.95                5.95                
140005                          1                   0.87                1.16                1.16                
140010                          30                  24.93               1.20                1.20                
140015                          1                   0.72                1.40                1.40                
140017                          0                   1.12                0                   0                   
140020                          3                   1.37                2.19                2.19                
140023                          0                   0.65                0                   0                   
140028                          0                   0.75                0                   0                   
140030                          3                   1.14                2.62                2.62                
140040                          0                   0.58                0                   0                   
140045                          4                   0.95                4.21                4.21                
140047                          0                   1.97                0                   0                   
140050                          3                   0.51                5.88                5.88                
140060                          0                   0.55                0                   0                   
140070                          1                   0.49                2.03                2.03                
150010                          2                   9.84                0.20                0.20                
150013                          0                   0.47                0                   0                   
150020                          3                   3.32                0.90                0.90                
150030                          2                   2.20                0.91                0.91                
150034                          0                   1.85                0                   0                   
150040                          1                   3.32                0.30                0.30                
150050                          3                   2.03                1.48                1.48                
150060                          6                   7.03                0.85                0.85                
150070                          3                   1.56                1.92                1.92                
