CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 REL_RISK            POPULATION          
1                   1                   1                   2458                1331.11             1.85                2.03                1331.11             
2                   1                   1                   347                 1038.37             0.33                0.32                1038.37             
3                   1                   1                   543                 1083.28             0.50                0.48                1083.28             
4                   1                   1                   842                 1344.74             0.63                0.60                1344.74             
5                   1                   1                   2630                2027.58             1.30                1.37                2027.58             
6                   1                   1                   761                 466.77              1.63                1.67                466.77              
7                   1                   1                   291                 530.06              0.55                0.54                530.06              
8                   1                   1                   56                  12.72               4.40                4.42                12.72               
9                   1                   1                   142                 248.76              0.57                0.57                248.76              
10                  1                   1                   118                 65.45               1.80                1.81                65.45               
11                  1                   1                   8                   32.39               0.25                0.25                32.39               
12                  1                   1                   32                  12.90               2.48                2.48                12.90               
13                  1                   1                   3                   17.05               0.18                0.18                17.05               
14                  1                   1                   79                  48.13               1.64                1.65                48.13               
15                  1                   1                   46                  24.56               1.87                1.88                24.56               
16                  1                   1                   75                  113.15              0.66                0.66                113.15              
