cod_mun,suicidio_esperado_sexo_idade,TIPO
110001,1.5267180450683455,IntermediarioAdjacente
110002,6.893288298901644,Urbano
110003,0.35548552962369073,RuralAdjacente
110004,5.529636411825746,Urbano
110005,1.0723004295950325,Urbano
110006,1.0558312252750346,IntermediarioAdjacente
110007,0.5111170693760704,RuralRemoto
110008,1.1246424012296208,RuralRemoto
110009,2.074987855519157,IntermediarioAdjacente
110010,2.7973878307944964,Urbano
110011,3.3081933647053487,Urbano
110012,8.223985005388078,Urbano
110013,2.522597143122183,RuralRemoto
110014,1.3665593207837272,RuralAdjacente
110015,2.3067642816048903,Urbano
110018,2.3490819414840343,Urbano
110020,34.475276348551425,Urbano
110025,1.266283699551145,IntermediarioAdjacente
110026,0.24857454105164625,RuralAdjacente
110028,3.5285369384003338,Urbano
110029,0.4370300116755935,RuralAdjacente
110030,6.3059565433229245,Urbano
110032,1.4788990861119538,RuralRemoto
110033,1.8819983482067548,RuralRemoto
110034,0.951669004337264,RuralAdjacente
110037,0.8488988512318159,RuralAdjacente
110040,1.3728773484037338,RuralAdjacente
110045,2.445297544058289,IntermediarioRemoto
110050,0.578530522730551,RuralAdjacente
110060,0.3988627658897244,RuralAdjacente
110070,0.9061516659925212,RuralAdjacente
110080,1.6471181262111676,Urbano
110090,0.20791785337105334,RuralAdjacente
110092,0.6934553992268739,RuralRemoto
110094,1.5390952885626377,IntermediarioAdjacente
110100,0.5126643987146282,RuralAdjacente
110110,0.6534675686034924,RuralAdjacente
110120,0.6118713539407984,RuralAdjacente
110130,0.7161572252371724,RuralAdjacente
110140,1.0248306965711032,RuralAdjacente
110143,0.4592009647987671,RuralAdjacente
110145,0.3958757903688768,RuralAdjacente
110146,0.13683165084576507,RuralRemoto
110147,0.19379594127946648,RuralAdjacente
110148,0.35130522186297164,RuralAdjacente
110149,1.258170241150843,RuralRemoto
110150,0.7735556951351218,RuralRemoto
110155,0.2932478791996148,RuralAdjacente
110160,0.6890617829206057,RuralAdjacente
110170,0.7620188737316127,RuralAdjacente
110175,0.7287641505987749,RuralRemoto
110180,0.4509028740837481,RuralAdjacente
120001,0.9372167885354232,RuralAdjacente
120005,0.4098348057113679,RuralRemoto
120010,1.6080302904199009,IntermediarioRemoto
120013,0.6314977461533383,RuralAdjacente
120017,0.6911969124594254,RuralAdjacente
120020,4.9948296252398325,Urbano
120025,1.1132067399375665,IntermediarioRemoto
120030,1.8833739485913423,IntermediarioRemoto
120032,0.388028528426461,RuralRemoto
120033,1.0530414351952924,RuralAdjacente
120034,0.5345627005941705,RuralRemoto
120035,0.931503510707786,RuralRemoto
120038,1.206898313660707,RuralAdjacente
120039,0.5694819487915935,RuralRemoto
120040,24.54295419357243,Urbano
120042,1.0046284735843942,RuralAdjacente
120043,0.3154103735845873,RuralRemoto
120045,1.3882239985818137,IntermediarioAdjacente
120050,2.7184284163089867,IntermediarioAdjacente
120060,2.2231261509410216,IntermediarioRemoto
120070,1.1799277989677344,RuralAdjacente
120080,1.1260723088363789,RuralAdjacente
130002,0.8240797747839594,RuralRemoto
130006,0.6290149319216629,RuralRemoto
130008,0.7998461985673582,RuralRemoto
130010,1.1672856962375728,RuralRemoto
130014,1.4448094887733856,IntermediarioRemoto
130020,1.0885347186092438,RuralRemoto
130030,2.2499965965723696,RuralRemoto
130040,1.7512124271230634,IntermediarioRemoto
130050,1.6896697266303804,RuralRemoto
130060,2.2313351124780145,IntermediarioRemoto
130063,1.038274608856338,RuralRemoto
130068,1.0859086191505674,RuralRemoto
130070,2.00691054035815,IntermediarioRemoto
130080,2.322087370288544,RuralRemoto
130083,0.7477096131596149,RuralRemoto
130090,1.0206712851411113,RuralRemoto
130100,1.557003965639102,Urbano
130110,2.2462964376310466,RuralAdjacente
130115,1.8668061587421971,RuralAdjacente
130120,4.921066811540505,Urbano
130130,1.6710785032668285,IntermediarioRemoto
130140,1.8964899274920275,IntermediarioRemoto
130150,1.0745562024779016,IntermediarioRemoto
130160,0.957674075730363,IntermediarioRemoto
130165,0.9155069786308144,RuralAdjacente
130170,3.3655443378970284,Urbano
130180,1.5232075704387944,RuralRemoto
130185,2.7932890233323,IntermediarioAdjacente
130190,5.8703246283710895,Urbano
130195,0.427921721386226,RuralRemoto
130200,0.5434299557191614,IntermediarioAdjacente
130210,0.14777255515554874,RuralRemoto
130220,0.7828411719682272,RuralRemoto
130230,0.7307278085094888,IntermediarioRemoto
130240,2.6448047983756244,IntermediarioRemoto
130250,5.554390523870582,Urbano
130255,1.7961635687594628,RuralAdjacente
130260,132.37833274207648,Urbano
130270,3.258715876516109,RuralRemoto
130280,0.9947102281801079,RuralRemoto
130290,3.48176663488214,RuralRemoto
130300,1.2570033711852968,RuralRemoto
130310,2.1674151816525664,RuralRemoto
130320,1.1317457531454933,RuralAdjacente
130330,1.6097784965968582,IntermediarioRemoto
130340,6.572011206889188,Urbano
130350,1.0580212668558635,RuralRemoto
130353,2.1517723017596557,RuralAdjacente
130356,2.064704772973992,RuralAdjacente
130360,1.2083027661463706,RuralRemoto
130370,1.1438124953538251,IntermediarioRemoto
130380,2.51840476510826,IntermediarioRemoto
130390,2.1781590304765786,RuralRemoto
130395,0.7925732951154091,RuralRemoto
130400,0.5203769752167672,RuralAdjacente
130406,3.5516326396211086,Urbano
