cod_mun,LATITUDE,LONGITUDE
110001,-11.929,-61.996
110002,-9.913,-63.041000000000004
110003,-13.492,-60.545
110004,-11.437999999999999,-61.448
110005,-13.189,-60.812
110006,-13.117,-60.542
110007,-12.962,-60.887
110008,-12.445,-64.227
110009,-11.525,-61.01300000000001
110010,-10.783,-65.339
110011,-10.439,-62.466
110012,-10.882,-61.943999999999996
110013,-9.443999999999999,-61.981
110014,-11.725,-62.331
110015,-10.716,-62.24800000000001
110018,-11.673,-61.19300000000001
110020,-8.762,-63.903999999999996
110025,-11.175999999999998,-61.901
110026,-9.705,-62.9
110028,-11.732999999999999,-61.778
110029,-11.902000000000001,-61.778999999999996
110030,-12.741,-60.146
110032,-11.681,-62.684
110033,-10.411,-65.331
110034,-11.408,-62.388999999999996
110037,-12.128,-61.851000000000006
110040,-9.713,-63.32100000000001
110045,-10.212,-63.82899999999999
110050,-11.71,-62.0
110060,-10.34,-62.896
110070,-10.571,-63.626999999999995
110080,-8.791,-63.701
110090,-11.427,-61.95
110092,-12.552,-60.9
110094,-9.363,-62.585
110100,-10.61,-62.736999999999995
110110,-9.205,-63.18
110120,-11.196,-61.516999999999996
110130,-11.03,-62.675
110140,-10.245999999999999,-63.29
110143,-10.904000000000002,-62.56100000000001
110145,-12.175,-61.603
110146,-13.482999999999999,-61.047
110147,-11.828,-61.32100000000001
110148,-11.902999999999999,-61.501999999999995
110149,-12.062000000000001,-63.568999999999996
110150,-11.798,-63.03100000000001
110155,-10.918,-62.248999999999995
110160,-10.244000000000002,-62.355
110170,-11.125,-62.37600000000001
110175,-9.863,-62.18600000000001
110180,-10.449000000000002,-62.13399999999999
120001,-9.828,-66.883
120005,-10.940999999999999,-69.567
120010,-11.01,-68.748
120013,-9.831,-67.952
120017,-10.573,-67.676
120020,-7.631,-72.67
120025,-11.029000000000002,-68.741
120030,-8.164,-70.354
120032,-9.434,-71.884
120033,-7.614,-72.896
120034,-8.839,-69.26
120035,-8.941,-72.792
120038,-10.276,-67.15
120039,-8.269,-72.744
120040,-9.975,-67.81
120042,-7.742000000000001,-72.64699999999998
120043,-9.433,-70.493
120045,-10.151,-67.736
120050,-9.066,-68.657
120060,-8.161,-70.766
120070,-10.652000000000001,-68.50399999999999
120080,-9.588,-67.533
130002,-3.221,-64.804
130006,-3.364,-68.19800000000001
130008,-3.58,-61.403999999999996
130010,-3.773,-61.644
130014,-7.197,-59.89100000000001
130020,-4.372,-70.192
130030,-3.58,-59.131
130040,-0.975,-62.924
130050,-2.793,-57.07
130060,-4.383,-70.031
130063,-3.898,-61.37300000000001
130068,-2.97,-57.59
130070,-8.752,-67.398
130080,-4.388,-59.593999999999994
130083,-3.3280000000000003,-61.208999999999996
130090,-6.534,-64.383
130100,-4.883,-66.896
130110,-3.7680000000000002,-60.369
130115,-3.221,-59.826
130120,-4.085,-63.14100000000001
130130,-3.8369999999999997,-62.056999999999995
130140,-6.66,-69.874
130150,-7.433,-70.023
130160,-2.5140000000000002,-66.092
130165,-7.546,-72.584
130170,-7.506,-63.021
130180,-7.051,-71.695
130185,-3.285,-60.18600000000001
130190,-3.1430000000000002,-58.443999999999996
130195,-6.425,-68.253
130200,-2.7489999999999997,-58.022
130210,-1.8259999999999998,-66.59899999999999
130220,-3.4810000000000003,-66.069
130230,-2.747,-66.767
130240,-7.258999999999999,-64.798
130250,-3.3,-60.621
130255,-3.428,-60.458999999999996
130260,-3.102,-60.025
130270,-5.809,-61.3
130280,-1.8559999999999999,-65.581
130290,-3.384,-57.718999999999994
130300,-2.186,-56.713
130310,-3.888,-59.093999999999994
