cod_mun,suicidio_observado_sexo_idade
110001,5.0
110002,11.0
110003,0.0
110004,7.0
110005,0.0
110006,3.0
110007,0.0
110008,0.0
110009,0.0
110010,5.0
110011,5.0
110012,7.0
110013,0.0
110014,1.0
110015,5.0
110018,6.0
110020,43.0
110025,1.0
110026,0.0
110028,3.0
110029,2.0
110030,16.0
110032,0.0
110033,0.0
110034,1.0
110037,2.0
110040,1.0
110045,0.0
110050,0.0
110060,1.0
110070,0.0
110080,1.0
110090,0.0
110092,1.0
110094,1.0
110100,2.0
110110,1.0
110120,1.0
110130,1.0
110140,1.0
110143,2.0
110145,0.0
110146,0.0
110147,0.0
110148,0.0
110149,1.0
110150,2.0
110155,0.0
110160,0.0
110170,0.0
110175,0.0
110180,1.0
120001,3.0
120005,0.0
120010,9.0
120013,2.0
120017,1.0
120020,6.0
120025,2.0
120030,0.0
120032,0.0
120033,0.0
120034,0.0
120035,1.0
120038,0.0
120039,0.0
120040,28.0
120042,1.0
120043,3.0
120045,2.0
120050,4.0
120060,5.0
120070,3.0
120080,2.0
130002,2.0
130006,3.0
130008,1.0
130010,2.0
130014,1.0
130020,2.0
130030,1.0
130040,1.0
130050,1.0
130060,9.0
130063,1.0
130068,2.0
130070,0.0
130080,1.0
130083,0.0
130090,2.0
130100,1.0
130110,0.0
130115,1.0
130120,2.0
130130,3.0
130140,7.0
130150,0.0
130160,0.0
130165,1.0
130170,7.0
130180,1.0
130185,0.0
130190,3.0
130195,1.0
130200,1.0
130210,1.0
130220,0.0
130230,2.0
130240,0.0
130250,7.0
130255,0.0
130260,107.0
130270,2.0
130280,1.0
130290,3.0
130300,1.0
130310,0.0
130320,3.0
130330,0.0
130340,6.0
130350,0.0
130353,2.0
130356,3.0
130360,0.0
130370,7.0
130380,11.0
130390,8.0
130395,0.0
130400,1.0
130406,20.0
130410,3.0
130420,6.0
130423,0.0
130426,1.0
130430,1.0
130440,2.0
140002,4.0
140005,1.0
140010,30.0
140015,1.0
140017,0.0
140020,3.0
140023,0.0
140028,0.0
140030,3.0
140040,0.0
140045,4.0
140047,0.0
140050,3.0
140060,0.0
140070,1.0
150010,2.0
150013,0.0
150020,3.0
150030,2.0
150034,0.0
150040,1.0
150050,3.0
150060,6.0
150070,3.0
150080,17.0
150085,1.0
150090,0.0
150095,0.0
150100,0.0
150110,0.0
150120,0.0
150125,1.0
150130,6.0
150140,55.0
150145,0.0
150150,0.0
150157,0.0
150160,0.0
150170,5.0
150172,2.0
150175,0.0
150178,1.0
150180,6.0
150190,3.0
150195,0.0
150200,0.0
150210,7.0
150215,1.0
150220,0.0
150230,2.0
150240,9.0
150250,0.0
150260,1.0
150270,3.0
150275,1.0
150276,0.0
150277,1.0
150280,1.0
150285,1.0
150290,2.0
150293,1.0
150295,0.0
150300,1.0
150304,2.0
150307,1.0
150309,1.0
150310,1.0
150320,2.0
150330,2.0
150340,2.0
150345,0.0
150350,2.0
150360,18.0
150370,2.0
150375,2.0
150380,3.0
150390,3.0
150400,0.0
150405,1.0
150410,0.0
150420,8.0
150430,1.0
150440,0.0
150442,2.0
150445,0.0
150450,0.0
150460,0.0
150470,7.0
150475,2.0
150480,3.0
150490,0.0
150495,1.0
150497,0.0
150500,0.0
150503,4.0
150506,4.0
150510,4.0
150520,2.0
150530,3.0
150540,0.0
150543,2.0
150548,2.0
150549,1.0
150550,6.0
150553,11.0
150555,0.0
150560,0.0
150563,0.0
150565,0.0
150570,2.0
150580,5.0
150590,2.0
150600,2.0
150610,0.0
150611,0.0
150613,2.0
150616,1.0
150618,2.0
150619,4.0
150620,2.0
150630,1.0
150635,0.0
150640,0.0
150650,5.0
150655,0.0
150658,1.0
150660,1.0
150670,7.0
150680,18.0
150690,0.0
150700,0.0
