cod_mun,suicidio_observado_sexo_idade,TIPO
110001,5,IntermediarioAdjacente
110002,11,Urbano
110003,0,RuralAdjacente
110004,7,Urbano
110005,0,Urbano
110006,3,IntermediarioAdjacente
110007,0,RuralRemoto
110008,0,RuralRemoto
110009,0,IntermediarioAdjacente
110010,5,Urbano
110011,5,Urbano
110012,7,Urbano
110013,0,RuralRemoto
110014,1,RuralAdjacente
110015,5,Urbano
110018,6,Urbano
110020,43,Urbano
110025,1,IntermediarioAdjacente
110026,0,RuralAdjacente
110028,3,Urbano
110029,2,RuralAdjacente
110030,16,Urbano
110032,0,RuralRemoto
110033,0,RuralRemoto
110034,1,RuralAdjacente
110037,2,RuralAdjacente
110040,1,RuralAdjacente
110045,0,IntermediarioRemoto
110050,0,RuralAdjacente
110060,1,RuralAdjacente
110070,0,RuralAdjacente
110080,1,Urbano
110090,0,RuralAdjacente
110092,1,RuralRemoto
110094,1,IntermediarioAdjacente
110100,2,RuralAdjacente
110110,1,RuralAdjacente
110120,1,RuralAdjacente
110130,1,RuralAdjacente
110140,1,RuralAdjacente
110143,2,RuralAdjacente
110145,0,RuralAdjacente
110146,0,RuralRemoto
110147,0,RuralAdjacente
110148,0,RuralAdjacente
110149,1,RuralRemoto
110150,2,RuralRemoto
110155,0,RuralAdjacente
110160,0,RuralAdjacente
110170,0,RuralAdjacente
110175,0,RuralRemoto
110180,1,RuralAdjacente
120001,3,RuralAdjacente
120005,0,RuralRemoto
120010,9,IntermediarioRemoto
120013,2,RuralAdjacente
120017,1,RuralAdjacente
120020,6,Urbano
120025,2,IntermediarioRemoto
120030,0,IntermediarioRemoto
120032,0,RuralRemoto
120033,0,RuralAdjacente
120034,0,RuralRemoto
120035,1,RuralRemoto
120038,0,RuralAdjacente
120039,0,RuralRemoto
120040,28,Urbano
120042,1,RuralAdjacente
120043,3,RuralRemoto
120045,2,IntermediarioAdjacente
120050,4,IntermediarioAdjacente
120060,5,IntermediarioRemoto
120070,3,RuralAdjacente
120080,2,RuralAdjacente
130002,2,RuralRemoto
130006,3,RuralRemoto
130008,1,RuralRemoto
130010,2,RuralRemoto
130014,1,IntermediarioRemoto
130020,2,RuralRemoto
130030,1,RuralRemoto
130040,1,IntermediarioRemoto
130050,1,RuralRemoto
130060,9,IntermediarioRemoto
130063,1,RuralRemoto
130068,2,RuralRemoto
130070,0,IntermediarioRemoto
130080,1,RuralRemoto
130083,0,RuralRemoto
130090,2,RuralRemoto
130100,1,Urbano
130110,0,RuralAdjacente
130115,1,RuralAdjacente
130120,2,Urbano
130130,3,IntermediarioRemoto
130140,7,IntermediarioRemoto
130150,0,IntermediarioRemoto
130160,0,IntermediarioRemoto
130165,1,RuralAdjacente
130170,7,Urbano
130180,1,RuralRemoto
130185,0,IntermediarioAdjacente
130190,3,Urbano
130195,1,RuralRemoto
130200,1,IntermediarioAdjacente
130210,1,RuralRemoto
130220,0,RuralRemoto
130230,2,IntermediarioRemoto
130240,0,IntermediarioRemoto
130250,7,Urbano
130255,0,RuralAdjacente
130260,107,Urbano
130270,2,RuralRemoto
130280,1,RuralRemoto
130290,3,RuralRemoto
130300,1,RuralRemoto
130310,0,RuralRemoto
130320,3,RuralAdjacente
130330,0,IntermediarioRemoto
130340,6,Urbano
130350,0,RuralRemoto
130353,2,RuralAdjacente
130356,3,RuralAdjacente
130360,0,RuralRemoto
130370,7,IntermediarioRemoto
130380,11,IntermediarioRemoto
130390,8,RuralRemoto
130395,0,RuralRemoto
130400,1,RuralAdjacente
130406,20,Urbano
130410,3,IntermediarioRemoto
130420,6,Urbano
130423,0,RuralRemoto
130426,1,RuralRemoto
130430,1,RuralRemoto
130440,2,RuralRemoto
140002,4,RuralAdjacente
140005,1,RuralAdjacente
140010,30,Urbano
140015,1,RuralAdjacente
140017,0,RuralAdjacente
140020,3,RuralAdjacente
140023,0,RuralRemoto
140028,0,RuralAdjacente
140030,3,RuralAdjacente
140040,0,RuralAdjacente
140045,4,RuralRemoto
140047,0,RuralRemoto
140050,3,RuralRemoto
140060,0,RuralRemoto
140070,1,RuralRemoto
150010,2,Urbano
150013,0,IntermediarioAdjacente
150020,3,RuralAdjacente
150030,2,RuralRemoto
150034,0,RuralRemoto
150040,1,Urbano
150050,3,IntermediarioRemoto
150060,6,Urbano
150070,3,RuralRemoto
150080,17,Urbano
150085,1,RuralRemoto
150090,0,RuralAdjacente
150095,0,RuralAdjacente
150100,0,RuralRemoto
150110,0,RuralRemoto
150120,0,RuralAdjacente
150125,1,RuralAdjacente
150130,6,Urbano
150140,55,Urbano
150145,0,RuralAdjacente
150150,0,Urbano
150157,0,RuralAdjacente
150160,0,RuralAdjacente
150170,5,Urbano
150172,2,RuralAdjacente
150175,0,RuralAdjacente
150178,1,Urbano
150180,6,Urbano
150190,3,RuralAdjacente
150195,0,RuralAdjacente
150200,0,RuralRemoto
150210,7,Urbano
150215,1,IntermediarioRemoto
150220,0,Urbano
150230,2,RuralAdjacente
150240,9,Urbano
150250,0,RuralRemoto
150260,1,RuralAdjacente
150270,3,Urbano
150275,1,IntermediarioAdjacente
150276,0,RuralAdjacente
150277,1,Urbano
150280,1,RuralRemoto
150285,1,RuralRemoto
150290,2,RuralAdjacente
150293,1,Urbano
150295,0,IntermediarioAdjacente
150300,1,RuralRemoto
150304,2,RuralAdjacente
150307,1,RuralAdjacente
150309,1,IntermediarioAdjacente
150310,1,RuralRemoto
150320,2,IntermediarioAdjacente
150330,2,IntermediarioAdjacente
150340,2,RuralAdjacente
150345,0,RuralAdjacente
150350,2,RuralAdjacente
150360,18,Urbano
150370,2,Urbano
150375,2,RuralRemoto
150380,3,Urbano
150390,3,IntermediarioRemoto
150400,0,RuralAdjacente
150405,1,Urbano
150410,0,RuralAdjacente
150420,8,Urbano
150430,1,RuralAdjacente
150440,0,RuralAdjacente
150442,2,Urbano
150445,0,RuralAdjacente
150450,0,RuralRemoto
150460,0,IntermediarioAdjacente
150470,7,RuralAdjacente
150475,2,
150480,3,Urbano
150490,0,RuralRemoto
150495,1,RuralAdjacente
150497,0,RuralAdjacente
150500,0,RuralAdjacente
150503,4,IntermediarioRemoto
150506,4,IntermediarioAdjacente
150510,4,Urbano
150520,2,RuralAdjacente
150530,3,Urbano
150540,0,RuralAdjacente
150543,2,Urbano
150548,2,RuralRemoto
150549,1,RuralAdjacente
150550,6,Urbano
150553,11,Urbano
150555,0,RuralAdjacente
150560,0,RuralAdjacente
150563,0,RuralAdjacente
150565,0,RuralRemoto
150570,2,RuralAdjacente
150580,5,IntermediarioRemoto
150590,2,RuralRemoto
150600,2,RuralRemoto
150610,0,RuralAdjacente
150611,0,IntermediarioAdjacente
150613,2,Urbano
150616,1,Urbano
150618,2,Urbano
150619,4,RuralRemoto
150620,2,Urbano
150630,1,RuralRemoto
150635,0,RuralAdjacente
150640,0,IntermediarioRemoto
150650,5,Urbano
150655,0,RuralAdjacente
150658,1,RuralRemoto
150660,1,IntermediarioAdjacente
150670,7,Urbano
150680,18,Urbano
150690,0,RuralAdjacente
150700,0,RuralAdjacente
150710,1,RuralAdjacente
150715,1,IntermediarioAdjacente
150720,0,RuralAdjacente
150730,1,Urbano
150740,0,RuralAdjacente
150745,1,IntermediarioAdjacente
150746,0,RuralAdjacente
150747,0,IntermediarioAdjacente
150750,0,RuralAdjacente
150760,2,Urbano
150770,0,RuralRemoto
150775,0,RuralRemoto
150780,0,RuralRemoto
150790,1,Urbano
150795,1,Urbano
150796,2,RuralAdjacente
150797,1,Urbano
150800,0,Urbano
150803,4,RuralAdjacente
150805,1,RuralRemoto
150808,2,Urbano
150810,10,Urbano
150812,2,Urbano
150815,2,IntermediarioRemoto
150820,0,Urbano
150830,0,RuralAdjacente
150835,2,RuralAdjacente
150840,5,Urbano
160005,0,RuralRemoto
160010,0,IntermediarioRemoto
160015,1,RuralRemoto
160020,0,RuralRemoto
160021,0,RuralAdjacente
160023,0,IntermediarioAdjacente
160025,0,RuralAdjacente
160027,2,Urbano
160030,45,Urbano
160040,3,RuralAdjacente
160050,3,IntermediarioRemoto
160053,0,IntermediarioAdjacente
160055,0,RuralRemoto
160060,5,Urbano
160070,2,RuralRemoto
160080,0,RuralRemoto
170025,0,RuralAdjacente
170030,0,Urbano
170035,2,IntermediarioAdjacente
170040,2,IntermediarioRemoto
170070,1,IntermediarioAdjacente
170100,0,IntermediarioAdjacente
170105,0,RuralAdjacente
170110,0,IntermediarioAdjacente
170130,0,RuralAdjacente
170190,0,RuralRemoto
170200,0,RuralRemoto
170210,10,Urbano
170215,0,RuralAdjacente
170220,2,IntermediarioAdjacente
170230,2,IntermediarioAdjacente
170240,1,RuralAdjacente
170255,3,Urbano
170270,0,RuralRemoto
170290,1,IntermediarioAdjacente
170300,2,RuralAdjacente
170305,0,RuralAdjacente
170307,0,RuralAdjacente
170310,1,IntermediarioAdjacente
170320,0,RuralAdjacente
